75,123,47,2020-04-30T00:07:00.000+01:00,2020-04-30T18:53:00.000+01:00,25,2020-04-30T00:00:00.000+01:00,2020-05-01T00:00:00.000+01:00,2279,2020-04-30T00:06:01.415+01:00,2020-04-30T23:52:31.521+01:00,3294,2020-04-30T00:07:01.415+01:00,2020-04-30T23:39:00.000+01:00,2636
85,139,59,2020-05-01T00:03:00.000+01:00,2020-05-01T21:51:00.000+01:00,34,2020-05-01T00:00:00.000+01:00,2020-05-02T00:00:00.000+01:00,2344,2020-05-01T00:02:35.056+01:00,2020-05-01T21:50:54.268+01:00,2776,2020-05-01T00:03:35.056+01:00,2020-05-01T21:50:21.245+01:00,3276
73,166,52,2020-05-03T13:50:00.000+01:00,2020-05-03T21:07:00.000+01:00,119,2020-05-03T00:00:00.000+01:00,2020-05-04T00:00:00.000+01:00,1783,2020-05-03T00:01:00.000+01:00,2020-05-03T21:15:50.075+01:00,7167,2020-05-03T00:01:00.000+01:00,2020-05-03T21:15:50.075+01:00,5553
70,106,48,2020-05-04T08:36:00.000+01:00,2020-05-04T22:44:00.000+01:00,18,2020-05-04T00:00:00.000+01:00,2020-05-05T00:00:00.000+01:00,2181,2020-05-04T00:12:53.239+01:00,2020-05-04T23:58:30.124+01:00,3779,2020-05-04T00:13:53.239+01:00,2020-05-04T23:58:30.124+01:00,3242
73,160,48,2020-05-05T08:50:00.000+01:00,2020-05-05T23:51:00.000+01:00,15,2020-05-05T00:00:00.000+01:00,2020-05-06T00:00:00.000+01:00,2225,2020-05-05T08:49:40.429+01:00,2020-05-05T23:54:30.337+01:00,2001,2020-05-05T00:01:00.000+01:00,2020-05-05T23:54:30.337+01:00,2271
71,134,47,2020-05-11T13:23:00.000+01:00,2020-05-11T17:59:00.000+01:00,13,2020-05-11T00:00:00.000+01:00,2020-05-12T00:00:00.000+01:00,1748,2020-05-11T00:01:00.000+01:00,2020-05-11T23:48:00.000+01:00,2203,2020-05-11T00:01:00.000+01:00,2020-05-11T23:48:00.000+01:00,1712
81,125,48,2020-05-12T00:18:00.000+01:00,2020-05-12T19:27:00.000+01:00,24,2020-05-12T00:00:00.000+01:00,2020-05-13T00:00:00.000+01:00,2288,2020-05-12T00:17:26.351+01:00,2020-05-12T23:52:00.000+01:00,1655,2020-05-12T00:18:26.351+01:00,2020-05-12T23:52:00.000+01:00,1067
72,148,49,2020-05-13T08:35:00.000+01:00,2020-05-13T19:51:00.000+01:00,11,2020-05-13T00:00:00.000+01:00,2020-05-14T00:00:00.000+01:00,2507,2020-05-13T08:34:08.514+01:00,2020-05-13T23:44:28.105+01:00,1137,2020-05-13T08:35:08.514+01:00,2020-05-13T23:39:00.000+01:00,1983
66,109,45,2020-05-14T09:30:00.000+01:00,2020-05-14T19:53:00.000+01:00,13,2020-05-14T00:00:00.000+01:00,2020-05-15T00:00:00.000+01:00,1769,2020-05-14T00:01:00.000+01:00,2020-05-14T23:27:39.448+01:00,1870,2020-05-14T00:01:00.000+01:00,2020-05-14T23:27:39.448+01:00,1414
79,161,59,2020-05-24T00:25:00.000+01:00,2020-05-24T20:51:00.000+01:00,23,2020-05-24T00:00:00.000+01:00,2020-05-25T00:00:00.000+01:00,2622,2020-05-24T00:24:23.750+01:00,2020-05-24T23:37:22.401+01:00,2394,2020-05-24T00:25:23.750+01:00,2020-05-24T23:37:22.401+01:00,1229
